Version,1,Type,TMR,Energy,6X-FFF,
ConeID,5mm CC,7.5mm CC,10mm CC,12.5mm CC,15mm CC,17.5mm CC
Depth,Value,,,,,
9.1,0.6348,0.6465,0.6546,0.6616,0.6685,0.6731
9.2,0.6309,0.6431,0.6508,0.6570,0.6639,0.6702
9.3,0.6256,0.6390,0.6468,0.6537,0.6607,0.6666
9.4,0.6219,0.6353,0.6435,0.6507,0.6568,0.6620
9.5,0.6177,0.6316,0.6407,0.6474,0.6533,0.6588
9.6,0.6143,0.6276,0.6364,0.6436,0.6502,0.6555
9.7,0.6123,0.6242,0.6324,0.6401,0.6470,0.6522
9.8,0.6085,0.6206,0.6291,0.6368,0.6440,0.6492
9.9,0.6040,0.6175,0.6258,0.6334,0.6407,0.6459
10.0,0.6000,0.6136,0.6224,0.6297,0.6358,0.6411
10.1,0.5977,0.6101,0.6187,0.6261,0.6315,0.6361
10.2,0.5942,0.6076,0.6157,0.6221,0.6284,0.6332
10.3,0.5901,0.6038,0.6127,0.6187,0.6256,0.6315
10.4,0.5865,0.6001,0.6087,0.6154,0.6222,0.6281
10.5,0.5820,0.5972,0.6058,0.6124,0.6192,0.6254
10.6,0.5798,0.5942,0.6029,0.6094,0.6165,0.6224
10.7,0.5762,0.5905,0.5994,0.6066,0.6136,0.6186
10.8,0.5739,0.5868,0.5954,0.6036,0.6106,0.6150
10.9,0.5714,0.5836,0.5916,0.5992,0.6061,0.6107
11.0,0.5683,0.5813,0.5885,0.5949,0.6016,0.6072
11.1,0.5643,0.5789,0.5868,0.5934,0.5995,0.6042
11.2,0.5606,0.5750,0.5839,0.5915,0.5976,0.6015
11.3,0.5564,0.5712,0.5805,0.5880,0.5939,0.5983
11.4,0.5541,0.5680,0.5770,0.5838,0.5893,0.5934
11.5,0.5508,0.5657,0.5734,0.5796,0.5857,0.5897
11.6,0.5476,0.5623,0.5696,0.5757,0.5824,0.5873
11.7,0.5446,0.5576,0.5660,0.5732,0.5797,0.5856
11.8,0.5418,0.5551,0.5634,0.5702,0.5764,0.5821
11.9,0.5396,0.5528,0.5611,0.5675,0.5734,0.5789
12.0,0.5354,0.5502,0.5578,0.5640,0.5709,0.5767
12.1,0.5314,0.5464,0.5540,0.5609,0.5683,0.5732
12.2,0.5286,0.5429,0.5503,0.5576,0.5652,0.5695
12.3,0.5247,0.5386,0.5476,0.5550,0.5611,0.5663
12.4,0.5212,0.5359,0.5453,0.5520,0.5576,0.5627
12.5,0.5199,0.5343,0.5427,0.5493,0.5555,0.5598
12.6,0.5177,0.5322,0.5395,0.5458,0.5532,0.5576
12.7,0.5135,0.5284,0.5372,0.5427,0.5484,0.5539
12.8,0.5106,0.5250,0.5340,0.5409,0.5465,0.5510
12.9,0.5074,0.5235,0.5313,0.5370,0.5440,0.5492
13.0,0.5042,0.5210,0.5291,0.5342,0.5403,0.5450
13.1,0.5024,0.5171,0.5253,0.5318,0.5382,0.5410
13.2,0.4991,0.5138,0.5226,0.5290,0.5348,0.5385
13.3,0.4957,0.5106,0.5201,0.5266,0.5312,0.5352
13.4,0.4933,0.5081,0.5167,0.5235,0.5294,0.5319
13.5,0.4910,0.5062,0.5142,0.5205,0.5271,0.5309
13.6,0.4875,0.5036,0.5120,0.5174,0.5243,0.5301
13.7,0.4846,0.4998,0.5083,0.5148,0.5211,0.5259
13.8,0.4824,0.4974,0.5069,0.5130,0.5179,0.5224
13.9,0.4801,0.4949,0.5031,0.5092,0.5151,0.5196
14.0,0.4785,0.4925,0.4991,0.5051,0.5127,0.5171
14.1,0.4752,0.4895,0.4979,0.5041,0.5106,0.5154
14.2,0.4731,0.4873,0.4962,0.5019,0.5073,0.5137
14.3,0.4696,0.4843,0.4932,0.4984,0.5043,0.5113
14.4,0.4662,0.4807,0.4896,0.4966,0.5026,0.5087
14.5,0.4651,0.4803,0.4879,0.4930,0.4985,0.5049
14.6,0.4625,0.4772,0.4855,0.4912,0.4967,0.5039
14.7,0.4597,0.4739,0.4831,0.4895,0.4944,0.5008
14.8,0.4574,0.4715,0.4812,0.4886,0.4932,0.4970
14.9,0.4541,0.4695,0.4781,0.4848,0.4909,0.4941
15.0,0.4518,0.4664,0.4751,0.4820,0.4875,0.4909
15.1,0.4495,0.4649,0.4728,0.4783,0.4841,0.4890
15.2,0.4468,0.4621,0.4705,0.4767,0.4823,0.4871
15.3,0.4452,0.4590,0.4668,0.4736,0.4804,0.4836
15.4,0.4426,0.4568,0.4656,0.4717,0.4776,0.4831
15.5,0.4380,0.4534,0.4632,0.4691,0.4749,0.4806
15.6,0.4365,0.4520,0.4610,0.4659,0.4713,0.4759
15.7,0.4344,0.4495,0.4583,0.4639,0.4684,0.4734
15.8,0.4320,0.4474,0.4560,0.4616,0.4661,0.4703
15.9,0.4283,0.4445,0.4529,0.4588,0.4643,0.4694
16.0,0.4254,0.4412,0.4493,0.4549,0.4616,0.4671
16.1,0.4239,0.4380,0.4461,0.4522,0.4593,0.4642
16.2,0.4230,0.4363,0.4450,0.4513,0.4581,0.4609
16.3,0.4199,0.4344,0.4425,0.4483,0.4544,0.4589
16.4,0.4169,0.4321,0.4406,0.4469,0.4518,0.4571
16.5,0.4137,0.4304,0.4393,0.4447,0.4491,0.4539
16.6,0.4109,0.4283,0.4367,0.4423,0.4480,0.4525
16.7,0.4092,0.4256,0.4338,0.4401,0.4459,0.4499
16.8,0.4089,0.4240,0.4323,0.4376,0.4426,0.4461
16.9,0.4056,0.4211,0.4301,0.4357,0.4400,0.4438
17.0,0.4036,0.4189,0.4281,0.4339,0.4379,0.4429
17.1,0.4018,0.4171,0.4254,0.4310,0.4358,0.4414
17.2,0.3998,0.4153,0.4225,0.4278,0.4344,0.4389
17.3,0.3980,0.4126,0.4202,0.4252,0.4317,0.4369
17.4,0.3949,0.4099,0.4181,0.4229,0.4297,0.4332
17.5,0.3921,0.4072,0.4164,0.4212,0.4275,0.4320
17.6,0.3898,0.4056,0.4149,0.4192,0.4247,0.4297
17.7,0.3878,0.4043,0.4132,0.4175,0.4220,0.4263
17.8,0.3851,0.4019,0.4112,0.4156,0.4193,0.4255
17.9,0.3840,0.4000,0.4085,0.4137,0.4176,0.4224
18.0,0.3824,0.3983,0.4066,0.4112,0.4169,0.4202
18.1,0.3808,0.3962,0.4044,0.4092,0.4158,0.4189
18.2,0.3778,0.3939,0.4024,0.4075,0.4136,0.4173
18.3,0.3761,0.3918,0.4005,0.4061,0.4118,0.4158
18.4,0.3733,0.3896,0.3985,0.4038,0.4094,0.4142
18.5,0.3720,0.3859,0.3955,0.4020,0.4062,0.4103
18.6,0.3702,0.3832,0.3927,0.3996,0.4040,0.4060
18.7,0.3676,0.3832,0.3918,0.3970,0.4021,0.4037
18.8,0.3647,0.3814,0.3905,0.3950,0.4003,0.4028
18.9,0.3620,0.3794,0.3881,0.3926,0.3981,0.4016
19.0,0.3611,0.3768,0.3862,0.3913,0.3963,0.3991
19.1,0.3589,0.3741,0.3842,0.3898,0.3940,0.3965
19.2,0.3578,0.3731,0.3821,0.3875,0.3924,0.3945
